Number_of_Singers,Vocal_Gender,Language,Length_of_Time,Number_of_YouTube_Clicks,Billboard_Rank_at_Peak
5,Female,Korean,263,26.0,0
1,Male,English,194,12.0,8
2,Mixed,English,176,36.0,69
9,Male,English,243,39.0,10
2,Male,Spanish,202,385.0,6
1,Male,English,207,3.7,16
1,Male,English,187,78.0,29
1,Female,English,176,6.3,48
1,Male,English,151,2.3,45
1,Male,English,174,83.0,53
1,Female,English,287,29.0,1
1,Male,English,154,180.0,8
1,Female,English,202,36.0,3
1,Male,English,243,23.0,2
1,Female,English,193,136.0,7
1,Male,English,183,5.0,0
2,Male,English,175,35.0,4
1,Male,English,183,3.4,50
1,Male,English,227,8.3,24
1,Male,English,102,17.0,99
2,Mixed,English,208,118.0,21
1,Male,English,196,36.0,3
1,Male,English,158,621.0,1
1,Female,English,172,0.149,0
1,Male,English,217,6.9,42
1,Male,English,217,7.8,62
1,Male,English,147,22.0,30
1,Female,English,296,136.0,3
1,Male,Spanish,195,140.0,86
2,Female,English,227,3.8,0
1,Female,English,203,59.0,15
2,Mixed,English,240,37.0,91
1,Male,English,219,36.0,1
4,Male,English,166,61.0,47
1,Male,English,162,129.0,8
1,Female,English,196,11.0,93
1,Male,English,202,1.2,0
1,Female,English,170,40.0,16
1,Male,English,215,19.0,12
